	len_changed	len_not_found	not_found	changed
Activation of C3 and C5	0	0	[]	{}
Activation of Ca-permeable Kainate Receptor	2	0	[]	{'GRIK2': 'GRIK5', 'DLG3': 'MPP3'}
Activation of G protein gated Potassium channels	0	0	[]	{}
Activation of GABAB receptors	0	0	[]	{}
Activation of HOX genes during differentiation	2	0	[]	{'RQCD1': 'CNOT9', 'H2AFX': 'H2AX'}
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	0	0	[]	{}
Activation of Matrix Metalloproteinases	0	0	[]	{}
Activation of NF-kappaB in B cells	0	0	[]	{}
Activation of NIMA Kinases NEK9, NEK6, NEK7	0	0	[]	{}
Activation of NMDA receptors and postsynaptic events	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
Activation of NOXA and translocation to mitochondria	0	0	[]	{}
Activation of Na-permeable kainate receptors	1	0	[]	{'GRIK2': 'GRIK5'}
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	0	0	[]	{}
Activation of PUMA and translocation to mitochondria	0	0	[]	{}
Activation of RAC1	3	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1', 'PAK5': 'PAK6'}
Activation of RAC1 downstream of NMDARs	0	0	[]	{}
Activation of RAS in B cells	0	0	[]	{}
Activation of SMO	1	0	[]	{'SMO': 'SMOX'}
Activation of TRKA receptors	0	0	[]	{}
Activation of anterior HOX genes in hindbrain development during early embryogenesis	2	0	[]	{'RQCD1': 'CNOT9', 'H2AFX': 'H2AX'}
Activation of caspases through apoptosome-mediated cleavage	0	0	[]	{}
Activation of gene expression by SREBF (SREBP)	3	0	[]	{'SC5DL': 'SC5D', 'MTF1': 'MELTF', 'SCD': 'SLC22A5'}
Activation of kainate receptors upon glutamate binding	2	0	[]	{'GRIK2': 'GRIK5', 'DLG3': 'MPP3'}
Activation of the AP-1 family of transcription factors	0	0	[]	{}
Activation of the TFAP2 (AP-2) family of transcription factors	0	0	[]	{}
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	0	1	['18S rRNA']	{}
Activation of the phototransduction cascade	1	0	[]	{'SAG': 'RNF7'}
Activation of the pre-replicative complex	3	0	[]	{'ORC1': 'SLC25A15', 'MCM2': 'MCM7', 'RPA1': 'POLR1A'}
Activation, myristolyation of BID and translocation to mitochondria	0	0	[]	{}
Activation, translocation and oligomerization of BAX	0	0	[]	{}
Acyl chain remodeling of CL	1	0	[]	{'TAZ': 'WWTR1'}
Acyl chain remodeling of DAG and TAG	0	0	[]	{}
Acyl chain remodelling of PC	0	0	[]	{}
Acyl chain remodelling of PE	0	0	[]	{}
Acyl chain remodelling of PG	0	0	[]	{}
Acyl chain remodelling of PI	0	0	[]	{}
Acyl chain remodelling of PS	0	0	[]	{}
Adaptive Immune System	11	7	['IGHV', 'porB', 'UL83', 'cd21', 'HA', 'IGLV', 'mip']	{'TAP2': 'SEC14L3', 'PARK2': 'PRKN', 'FYB': 'FYB1', 'CDH1': 'FZR1', 'PAK3': 'ARHGEF7', 'HLA-H': 'HFE', 'RILP': 'PRICKLE1', 'VPRBP': 'DCAF1', 'PAK1': 'PKN1', 'HN': 'MT-RNR2', 'LAT': 'SPNS1'}
Adenosine P1 receptors	0	0	[]	{}
Adenylate cyclase activating pathway	0	0	[]	{}
Adenylate cyclase inhibitory pathway	0	0	[]	{}
Adherens junctions interactions	3	0	[]	{'CDH3': 'CDH15', 'CDH7': 'CDH19', 'CDH1': 'FZR1'}
Adrenaline signalling through Alpha-2 adrenergic receptor	0	0	[]	{}
Adrenaline,noradrenaline inhibits insulin secretion	0	0	[]	{}
Adrenoceptors	0	0	[]	{}
Advanced glycosylation endproduct receptor signaling	0	0	[]	{}
Aflatoxin activation and detoxification	0	0	[]	{}
Aggrephagy	1	0	[]	{'PARK2': 'PRKN'}
Agmatine biosynthesis	0	0	[]	{}
Alanine metabolism	0	0	[]	{}
Alpha-defensins	1	1	['env']	{'DEFA3': 'DEFA1A3'}
Alpha-oxidation of phytanate	0	0	[]	{}
Alpha-protein kinase 1 signaling pathway	0	0	[]	{}
Alternative Lengthening of Telomeres (ALT)	0	0	[]	{}
Alternative complement activation	0	0	[]	{}
Amine Oxidase reactions	0	0	[]	{}
Amine ligand-binding receptors	2	0	[]	{'HRH2': 'DHX15', 'TAAR3': 'TAAR3P'}
Amino Acid conjugation	0	0	[]	{}
Amino acid transport across the plasma membrane	0	0	[]	{}
Amino acids regulate mTORC1	3	0	[]	{'GATSL2': 'CASTOR2', 'GATSL3': 'CASTOR1', 'C12orf66': 'KICS2'}
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	2	0	[]	{'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Amplification of signal from the kinetochores	2	0	[]	{'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Amyloid fiber formation	2	0	[]	{'H2AFX': 'H2AX', 'PARK2': 'PRKN'}
Anchoring fibril formation	1	0	[]	{'LAMA3': 'LAMA4'}
Anchoring of the basal body to the plasma membrane	0	0	[]	{}
Androgen biosynthesis	0	0	[]	{}
Antagonism of Activin by Follistatin	0	0	[]	{}
Anti-inflammatory response favouring Leishmania parasite infection	5	3	['IGHV', 'LPG1G2', 'IGLV']	{'HRH2': 'DHX15', 'VIP': 'CPAMD8', 'TAAR3': 'TAAR3P', 'GIP': 'C1QTNF1', 'PTH2': 'PTENP1'}
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	2	0	[]	{'TAP2': 'SEC14L3', 'HLA-H': 'HFE'}
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0	2	['IGHV', 'IGLV']	{}
Antigen processing-Cross presentation	2	2	['porB', 'mip']	{'HLA-H': 'HFE', 'TAP2': 'SEC14L3'}
Antigen processing: Ubiquitination & Proteasome degradation	2	0	[]	{'PARK2': 'PRKN', 'VPRBP': 'DCAF1'}
Antimicrobial action and antimicrobial resistance in Mtb	0	4	['rpoA', 'rpoC', 'rpoZ', 'rpoB']	{}
Antimicrobial peptides	5	1	['env']	{'SSA1': 'TRIM21', 'DEFA3': 'DEFA1A3', 'DEFB131': 'DEFB131A', 'SSA2': 'RO60', 'DEFB108P1': 'DEFB108A'}
Antiviral mechanism by IFN-stimulated genes	3	2	['VP3', 'gag']	{'KPNA7': 'KPNA6', 'POM121': 'POMZP3', 'NS': 'GNL3'}
Apoptosis	3	2	['MC159L', 'ORF71']	{'ARHGAP10': 'ARHGAP21', 'CDH1': 'FZR1', 'TRAF2': 'TANK'}
Apoptosis induced DNA fragmentation	0	0	[]	{}
Apoptotic cleavage of cell adhesion  proteins	1	0	[]	{'CDH1': 'FZR1'}
Apoptotic cleavage of cellular proteins	1	0	[]	{'CDH1': 'FZR1'}
Apoptotic execution phase	1	0	[]	{'CDH1': 'FZR1'}
Apoptotic factor-mediated response	0	0	[]	{}
Aquaporin-mediated transport	2	0	[]	{'MIP': 'MAFIP', 'AQP9': 'AQP7'}
Arachidonate production from DAG	0	0	[]	{}
Arachidonic acid metabolism	1	0	[]	{'FAAH': 'FA2H'}
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	0	0	[]	{}
Aryl hydrocarbon receptor signalling	1	0	[]	{'AIP': 'AURKAIP1'}
Asparagine N-linked glycosylation	6	0	[]	{'MGAT2': 'MOGAT2', 'NAPB': 'NAPSB', 'MGAT3': 'MOGAT3', 'NAPA': 'NAPSA', 'MIA2': 'CFAP73', 'ARFGAP1': 'ARFGAP3'}
Aspartate and asparagine metabolism	0	0	[]	{}
Assembly Of The HIV Virion	0	8	['rev', 'vif', 'env', 'vpu', 'gag', 'gag-pol', 'vpr', 'nef']	{}
Assembly and cell surface presentation of NMDA receptors	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
Assembly of Viral Components at the Budding Site	2	2	['M', 'HA']	{'NA': 'XK', 'NP': 'CTF2P'}
Assembly of active LPL and LIPC lipase complexes	0	0	[]	{}
Assembly of collagen fibrils and other multimeric structures	2	0	[]	{'MMP20': 'MMP25', 'LAMA3': 'LAMA4'}
Assembly of the ORC complex at the origin of replication	1	0	[]	{'ORC1': 'SLC25A15'}
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)	0	2	['rep', '1a']	{}
Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)	0	2	['pp1a', 'rep']	{}
Assembly of the pre-replicative complex	2	0	[]	{'ORC1': 'SLC25A15', 'MCM2': 'MCM7'}
Association of TriC/CCT with target proteins during biosynthesis	1	0	[]	{'FKBP9': 'FKBP1B'}
Astrocytic Glutamate-Glutamine Uptake And Metabolism	0	0	[]	{}
Asymmetric localization of PCP proteins	1	0	[]	{'FZD3': 'FZD9'}
Attachment and Entry	0	7	['7a', 'N', 'S', 'SARS coronavirus, complete genome', '3a', 'M', 'E']	{}
Attachment of GPI anchor to uPAR	0	0	[]	{}
Attenuation phase	0	1	['HSBP2']	{}
Autodegradation of Cdh1 by Cdh1:APC/C	0	0	[]	{}
Autodegradation of the E3 ubiquitin ligase COP1	1	0	[]	{'RFWD2': 'COP1'}
Autointegration results in viral DNA circles	0	6	['rev', 'vif', 'vpu', 'gag', 'gag-pol', 'vpr']	{}
Autophagy	1	0	[]	{'PARK2': 'PRKN'}
Axon guidance	15	5	['ROBO3.1', '5S rRNA', '5.8S rRNA', '18S rRNA', '28S rRNA']	{'DOK1': 'ART4', 'TRPC7': 'TRPM2', 'CAP2': 'TMPRSS4', 'DLG3': 'MPP3', 'RPL36A': 'RPL36AL', 'PAK5': 'PAK6', 'SLIT3': 'SLIT1', 'RPL13': 'MRPL13', 'HFE2': 'HJV', 'PAK3': 'ARHGEF7', 'MYH14': 'MYH7B', 'GRIN1': 'GPRIN1', 'PAK1': 'PKN1', 'RPL10': 'RPL15', 'NTN4': 'MLF2'}
Axonal growth inhibition (RHOA activation)	0	0	[]	{}
Axonal growth stimulation	0	0	[]	{}
B-WICH complex positively regulates rRNA expression	1	0	[]	{'H2AFX': 'H2AX'}
BBSome-mediated cargo-targeting to cilium	1	0	[]	{'SMO': 'SMOX'}
BDNF activates NTRK2 (TRKB) signaling	0	0	[]	{}
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	0	0	[]	{}
BMAL1:CLOCK,NPAS2 activates circadian gene expression	2	0	[]	{'DBP': 'GC', 'CCRN4L': 'NOCT'}
Base Excision Repair	3	0	[]	{'LIG1': 'LRIG1', 'H2AFX': 'H2AX', 'RPA1': 'POLR1A'}
Base-Excision Repair, AP Site Formation	1	0	[]	{'H2AFX': 'H2AX'}
Basigin interactions	1	0	[]	{'SPN': 'DEAF1'}
Beta defensins	2	0	[]	{'DEFB108P1': 'DEFB108A', 'DEFB131': 'DEFB131A'}
Beta oxidation of butanoyl-CoA to acetyl-CoA	0	0	[]	{}
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	0	0	[]	{}
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	0	0	[]	{}
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	0	0	[]	{}
Beta oxidation of myristoyl-CoA to lauroyl-CoA	0	0	[]	{}
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	0	0	[]	{}
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	0	0	[]	{}
Beta-catenin independent WNT signaling	3	1	['MIR92b']	{'ROR2': 'RORA', 'RAC3': 'NCOA3', 'FZD3': 'FZD9'}
Beta-catenin phosphorylation cascade	0	0	[]	{}
Beta-oxidation of pristanoyl-CoA	0	0	[]	{}
Beta-oxidation of very long chain fatty acids	0	0	[]	{}
Bicarbonate transporters	0	0	[]	{}
Bile acid and bile salt metabolism	1	0	[]	{'ALB': 'FBF1'}
Binding and Uptake of Ligands by Scavenger Receptors	2	3	['IGHV', 'porB', 'IGLV']	{'ALB': 'FBF1', 'LRP1': 'C1D'}
Binding and entry of HIV virion	0	8	['rev', 'vif', 'vpu', 'gag', 'gag-pol', 'vpr', 'nef', 'env']	{}
Binding of TCF/LEF:CTNNB1 to target gene promoters	0	0	[]	{}
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	0	0	[]	{}
Biological oxidations	6	0	[]	{'NAT1': 'EIF4G2', 'AIP': 'AURKAIP1', 'GSS': 'PRNP', 'NAT2': 'SLC38A1', 'CES2': 'CES1', 'SULT1C2': 'SULT1C4'}
Biosynthesis of A2E, implicated in retinal degradation	0	0	[]	{}
Biosynthesis of D-series resolvins	0	0	[]	{}
Biosynthesis of DHA-derived SPMs	0	0	[]	{}
Biosynthesis of DHA-derived sulfido conjugates	0	0	[]	{}
Biosynthesis of DPA-derived SPMs	0	0	[]	{}
Biosynthesis of DPAn-3 SPMs	0	0	[]	{}
Biosynthesis of DPAn-3-derived 13-series resolvins	0	0	[]	{}
Biosynthesis of DPAn-3-derived maresins	0	0	[]	{}
Biosynthesis of DPAn-3-derived protectins and resolvins	0	0	[]	{}
Biosynthesis of DPAn-6 SPMs	0	0	[]	{}
Biosynthesis of E-series 18(R)-resolvins	0	0	[]	{}
Biosynthesis of E-series 18(S)-resolvins	0	0	[]	{}
Biosynthesis of EPA-derived SPMs	0	0	[]	{}
Biosynthesis of aspirin-triggered D-series resolvins	0	0	[]	{}
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives	0	0	[]	{}
Biosynthesis of maresin conjugates in tissue regeneration (MCTR)	0	0	[]	{}
Biosynthesis of maresin-like SPMs	0	0	[]	{}
Biosynthesis of maresins	0	0	[]	{}
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)	0	0	[]	{}
Biosynthesis of protectins	0	0	[]	{}
Biosynthesis of specialized proresolving mediators (SPMs)	0	0	[]	{}
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0	0	[]	{}
Biotin transport and metabolism	1	0	[]	{'PC': 'PODXL'}
Blockage of phagosome acidification	0	1	['ptpA']	{}
Blood group systems biosynthesis	0	0	[]	{}
Branched-chain amino acid catabolism	0	0	[]	{}
Breakdown of the nuclear lamina	0	0	[]	{}
Budding	5	3	['M', 'PB2', 'HA']	{'PA': 'EPB42', 'NS': 'GNL3', 'NP': 'CTF2P', 'PB1': 'PBRM1', 'NA': 'XK'}
Budding and maturation of HIV virion	0	8	['rev', 'vif', 'env', 'vpu', 'gag', 'gag-pol', 'vpr', 'nef']	{}
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	0	0	[]	{}
Butyrophilin (BTN) family interactions	0	0	[]	{}
C-type lectin receptors (CLRs)	2	1	['env']	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
C6 deamination of adenosine	0	0	[]	{}
CASP8 activity is inhibited	1	2	['CRMA', 'SPI-2']	{'TRAF2': 'TANK'}
CD163 mediating an anti-inflammatory response	0	0	[]	{}
CD209 (DC-SIGN) signaling	2	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
CD22 mediated BCR regulation	0	2	['IGHV', 'IGLV']	{}
CD28 co-stimulation	2	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
CD28 dependent PI3K/Akt signaling	0	0	[]	{}
CD28 dependent Vav1 pathway	2	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
CDC6 association with the ORC:origin complex	1	0	[]	{'ORC1': 'SLC25A15'}
CDK-mediated phosphorylation and removal of Cdc6	0	0	[]	{}
CDT1 association with the CDC6:ORC:origin complex	1	0	[]	{'ORC1': 'SLC25A15'}
CHL1 interactions	0	0	[]	{}
CLEC7A (Dectin-1) induces NFAT activation	0	0	[]	{}
CLEC7A (Dectin-1) signaling	0	0	[]	{}
CLEC7A/inflammasome pathway	0	0	[]	{}
COPI-dependent Golgi-to-ER retrograde traffic	3	0	[]	{'NAPB': 'NAPSB', 'NAPA': 'NAPSA', 'ARFGAP1': 'ARFGAP3'}
COPI-independent Golgi-to-ER retrograde traffic	0	0	[]	{}
COPI-mediated anterograde transport	3	0	[]	{'NAPB': 'NAPSB', 'NAPA': 'NAPSA', 'ARFGAP1': 'ARFGAP3'}
COPII-mediated vesicle transport	2	0	[]	{'NAPA': 'NAPSA', 'NAPB': 'NAPSB'}
COX reactions	0	0	[]	{}
CREB phosphorylation	0	0	[]	{}
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
CREB1 phosphorylation through the activation of Adenylate Cyclase	0	0	[]	{}
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	0	0	[]	{}
CREB3 factors activate genes	0	0	[]	{}
CRMPs in Sema3A signaling	0	0	[]	{}
CS/DS degradation	0	0	[]	{}
CTLA4 inhibitory signaling	0	0	[]	{}
CYP2E1 reactions	0	0	[]	{}
Ca-dependent events	0	0	[]	{}
Ca2+ activated K+ channels	0	0	[]	{}
Ca2+ pathway	1	1	['MIR92b']	{'FZD3': 'FZD9'}
CaM pathway	0	0	[]	{}
CaMK IV-mediated phosphorylation of CREB	0	0	[]	{}
Calcineurin activates NFAT	0	0	[]	{}
Calcitonin-like ligand receptors	0	0	[]	{}
Calmodulin induced events	0	0	[]	{}
Calnexin/calreticulin cycle	0	0	[]	{}
Cam-PDE 1 activation	0	0	[]	{}
Cap-dependent Translation Initiation	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Carboxyterminal post-translational modifications of tubulin	0	0	[]	{}
Cardiac conduction	2	0	[]	{'ATP2B2': 'ATP2B4', 'NOS1': 'NANOS1'}
Cargo concentration in the ER	1	0	[]	{'MIA2': 'CFAP73'}
Cargo recognition for clathrin-mediated endocytosis	0	0	[]	{}
Cargo trafficking to the periciliary membrane	4	0	[]	{'PKD2': 'PRKD2', 'SMO': 'SMOX', 'RP2': 'STK19B', 'INPP5E': 'PMPCA'}
Carnitine metabolism	0	0	[]	{}
Carnitine synthesis	0	0	[]	{}
Caspase activation via Death Receptors in the presence of ligand	1	2	['MC159L', 'ORF71']	{'TRAF2': 'TANK'}
Caspase activation via Dependence Receptors in the absence of ligand	0	0	[]	{}
Caspase activation via extrinsic apoptotic signalling pathway	1	2	['ORF71', 'MC159L']	{'TRAF2': 'TANK'}
Caspase-mediated cleavage of cytoskeletal proteins	0	0	[]	{}
Catecholamine biosynthesis	0	0	[]	{}
Cation-coupled Chloride cotransporters	0	0	[]	{}
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0	0	[]	{}
Cell Cycle	20	0	[]	{'POM121': 'POMZP3', 'RFWD2': 'COP1', 'APITD1': 'CENPS', 'BRIP1': 'MRPL36', 'BRE': 'BABAM2', 'FAM175A': 'ABRAXAS1', 'H2AFX': 'H2AX', 'GAR1': 'CNGB1', 'ORC1': 'SLC25A15', 'STRA13': 'CENPX', 'LIG1': 'LRIG1', 'DMC1': 'HID1', 'NBN': 'ARTN', 'RPA1': 'POLR1A', 'TEN1': 'TENM1', 'RAD1': 'ERCC4', 'MCM2': 'MCM7', 'FKBP6': 'FKBP10', 'CENPC': 'CENPCP1', 'BRCC3': 'DEPDC1B'}
Cell Cycle Checkpoints	13	0	[]	{'ORC1': 'SLC25A15', 'RAD1': 'ERCC4', 'MCM2': 'MCM7', 'BRIP1': 'MRPL36', 'BRE': 'BABAM2', 'FAM175A': 'ABRAXAS1', 'NBN': 'ARTN', 'H2AFX': 'H2AX', 'CENPC': 'CENPCP1', 'RFWD2': 'COP1', 'RPA1': 'POLR1A', 'APITD1': 'CENPS', 'BRCC3': 'DEPDC1B'}
Cell Cycle, Mitotic	8	0	[]	{'POM121': 'POMZP3', 'APITD1': 'CENPS', 'H2AFX': 'H2AX', 'ORC1': 'SLC25A15', 'LIG1': 'LRIG1', 'RPA1': 'POLR1A', 'MCM2': 'MCM7', 'CENPC': 'CENPCP1'}
Cell death signalling via NRAGE, NRIF and NADE	1	0	[]	{'NET1': 'SLC6A2'}
Cell junction organization	5	0	[]	{'LAMA3': 'LAMA4', 'CDH3': 'CDH15', 'CDH7': 'CDH19', 'CDH1': 'FZR1', 'PXN': 'PXDN'}
Cell recruitment (pro-inflammatory response)	0	0	[]	{}
Cell redox homeostasis	0	9	['ahpC', 'fgd1', 'tpx', 'trxB', 'trxA', 'trx-2', 'lpdC', 'ahpD', 'dlaT']	{}
Cell surface interactions at the vascular wall	3	17	['opaD', 'opaI', 'IGHV', 'opaK', 'opaE', 'eba1', 'opaB', 'ebl-1', 'opaC', 'opaG', 'opaJ', 'eba-140', 'opaA', 'opaF', 'piiC', 'IGLV', 'opaH']	{'PSG11': 'PSG9', 'SPN': 'DEAF1', 'SELP': 'SELENOP'}
Cell-Cell communication	7	0	[]	{'KIRREL': 'KIRREL1', 'LAMA3': 'LAMA4', 'CDH3': 'CDH15', 'CDH7': 'CDH19', 'CDH1': 'FZR1', 'PXN': 'PXDN', 'FYB': 'FYB1'}
Cell-cell junction organization	3	0	[]	{'CDH3': 'CDH15', 'CDH7': 'CDH19', 'CDH1': 'FZR1'}
Cell-extracellular matrix interactions	1	0	[]	{'PXN': 'PXDN'}
Cellular Senescence	3	0	[]	{'IL8': 'CXCL8', 'NBN': 'ARTN', 'H2AFX': 'H2AX'}
Cellular hexose transport	0	0	[]	{}
Cellular response to heat stress	2	1	['HSBP2']	{'POM121': 'POMZP3', 'RPA1': 'POLR1A'}
Cellular response to hypoxia	1	0	[]	{'EPO': 'EPX'}
Cellular responses to external stimuli	15	5	['5S rRNA', '5.8S rRNA', 'HSBP2', '18S rRNA', '28S rRNA']	{'POM121': 'POMZP3', 'EPO': 'EPX', 'RPL36A': 'RPL36AL', 'RPL13': 'MRPL13', 'C12orf66': 'KICS2', 'H2AFX': 'H2AX', 'EIF2AK1': 'EIF2AK2', 'IL8': 'CXCL8', 'GPX6': 'GPX7', 'NBN': 'ARTN', 'GATSL2': 'CASTOR2', 'RPA1': 'POLR1A', 'GATSL3': 'CASTOR1', 'RPL10': 'RPL15', 'MTF1': 'MELTF'}
Cellular responses to stress	14	5	['5S rRNA', '5.8S rRNA', 'HSBP2', '18S rRNA', '28S rRNA']	{'POM121': 'POMZP3', 'EPO': 'EPX', 'RPL36A': 'RPL36AL', 'RPL13': 'MRPL13', 'C12orf66': 'KICS2', 'H2AFX': 'H2AX', 'EIF2AK1': 'EIF2AK2', 'IL8': 'CXCL8', 'GPX6': 'GPX7', 'NBN': 'ARTN', 'GATSL2': 'CASTOR2', 'RPA1': 'POLR1A', 'GATSL3': 'CASTOR1', 'RPL10': 'RPL15'}
Centrosome maturation	0	0	[]	{}
Ceramide signalling	0	0	[]	{}
