,Gene name,Full name,Main Functions,Relation to TGFβ ,Literatures,,
11,DSC2,Desmocollin 2,Component of intercellular desmosome junctions; interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion; ,N/A,N/A,,
12,ENC1,Ectodermal-Neural Cortex 1,regulation of neuronal process formation and in differentiation of neural crest cells; decreasing the rate of protein synthesis and not via a ubiquitin-mediated proteasomal degradation mechanism,upregulated by TGFβ ,"Feng Yang, 2014, Oncotarget",,
13,F3,"Coagulation Factor III, Tissue Factor",blood coagulation by forming a complex with circulating factor VII or VIIa;  initiating the cell-surface assembly and propagation of the coagulation protease cascade; cellular immmune response (depending on cell),N/A,N/A,,
14,FAP,Fibroblast Activation Protein Alpha," extracellular matrix degradation; promotes cell adhesion, migration and invasion through the ECM; collagen fiber degradation and apoptosis and by reducing antitumor response of the immune system; increasing angiogenesis",upregulated by TGFβ ,"Chen H, 2010, Exp Mol Pathol",,
15,FGF2,Fibroblast Growth Factor 2,"regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Can induce angiogenesis",N/A,N/A,,
16,FN1,Fibronectin 1,"bind cell surfaces and various compounds including collagen, fibrin, heparin, DNA, and actin; cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape",upregulated by TGFβ ,"Sangeeta Kowli, 2014, PMC",,
17,HEY1,Hes Related Family BHLH Transcription Factor With YRPW Motif 1, Promotes maintenance of neuronal precursor cells and glial versus neuronal fate specification; Represses transcription by the cardiac transcriptional activators GATA4 and GATA6,upregulated by TGFβ ,"Xiaoyun Chen, 2014, Plos One",,
18,HMGA2,High Mobility Group AT-Hook 2 ,chromosome condensation during the meiotic G2/M transition of spermatocytes; RNA Polymerase II core promotor,upregulated by TGFβ ,"Jian Xu, 2009, Cell Res",,
19,ID1,"Inhibitor Of DNA Binding 1, HLH Protein","inhibitor of DNA binding 1,putative transcription regulator,expressed during early development and in adult tissues,inhibiting transcription factors of the basic helix loop helix family,controlling growth and/or differentiation of several cell types,potentially required for neurogenesis and angiogenesis",upregulated by TGFβ ,"Liang YY, 2009, Cell Res",,
20,IGF2BP3,Insulin Like Growth Factor 2 MRNA Binding Protein 3,RNA-binding factor that may recruits target transcripts to cytoplasmic protein-RNA complexes;  rate and location at which target transcripts encounter the translational apparatus and shields them from endonuclease attacks or microRNA-mediated degradation,N/A ,N/A ,,
21,IGFBP3,Insulin Like Growth Factor Binding Protein 3,cell somatic growth and cellular proliferation;  main IGF transport;  antiproliferative and apoptotic effects mediated by its receptor ,upregulated by TGFβ ,"Izumi K, 2006, Invest Ophthalmol Vis Sci",,
22,JAG1,Jagged 1,Ligand for multiple Notch receptors and involved in the mediation of Notch signaling. May be involved in cell-fate decisions;Inhibits myoblast differentiation during hematopoiesis; Enhances fibroblast growth factor-induced angiogenesis,upregulated by TGFβ ,"Li Liu, 2013. J Diabetes Res.",,
23,KLF4,Kruppel Like Factor 4,"binding DNA fragments,containing the CACCC motif of the beta globin promoter,acting both as a transcriptional activator and repressor; maintaining embryonic stem cells, and in preventing their differentiation; Contributes to the down-regulation of p53/TP53 transcription",upregulated by TGFβ ,"Hui-xuan Li, 2010, Journal Of Biological Chemistry",,
24,LAMB3,Laminin Subunit Beta 3,"cutaneous basement membrane zone,expressed in stratifying squamous epithelium; regulate cell growth, cell movement (motility), and the attachment of cells to one another (adhesion)",N/A ,N/A ,,
25,LARP6,La Ribonucleoprotein Domain Family Member 6,Stabilizes mRNAs through high-affinity binding of a stem-loop structure in their 5 UTR,N/A ,N/A ,,
26,LIPG,"Lipase G, Endothelial Type",Hydrolyzes high density lipoproteins (HDL) more efficiently than other lipoproteins. Binds heparin; lipoprotein metabolism,upregulated by TGFβ ,"Han-Jin Park, 2008, Biomark Insights",,
27,MAFF,MAF BZIP Transcription Factor F,"e upstream promoter region of the oxytocin receptor gene; serve as a transcriptional activator; basic-zipper proteins and recruiting them to specific DNA-binding sites; encoded protein can also form homodimers, and since it lacks a transactivation domain, the homodimer may act as a repressor of transcriptio;",upregulated by TGFβ ,"Stepehen A. K. Harvey, 2010, Invest Ophthalmol Vis Sci.",,
28,MMD,Monocyte To Macrophage Differentiation Associated,suggested alternative function is that of an ion channel protein in maturing macrophages;,N/A ,N/A ,,
29,PDGFC,Platelet Derived Growth Factor C,"Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis; important role in angiogenesis; transformation of interstitial fibroblasts into myofibroblasts plus collagen deposition occurs.",upregulated by TGFβ ,"Kai Takegoshi, 2017, Oncotarget",,
30,PLEK2,Pleckstrin 2,orchestrate cytoskeletal arrangement. Contribute to lamellipodia formation;,upregulated by TGFβ ,Jennifer Brockhausen; 2014; Liver International,,
31,PLXNA2,Plexin A2,"Calcium-dependent cell adhesion molecule at the neuronal cell surface,homologous to the hepatocyte growth factor receptor family,expressed in fetal brain,putatively involved in signal transduction; invasiv growth and cell migration",upregulated by TGFβ ,"Ji-Eun Oh, 2012, Journal of Bone and Mineral Research",,
32,POSTN ,Periostin,"Induces cell attachment and spreading and plays a role in cell adhesion; cancer stem cell maintenance and metastasis; secreted extracellular matrix protein that functions in tissue development and regeneration, including wound healing, and ventricular remodeling following myocardial infarction",upregulated by TGFβ ,"Hu Q, 2015, Cell Physiol Biochem.",,
33,PSCD1,Cytohesin 1,regulates the adhesiveness of integrins at the plasma membrane of lymphocytes; regulation of protein sorting and membrane trafficking,N/A ,N/A ,,
34,RNF24,Ring Finger Protein 24,multiple transient receptor potential cation channel subfamily C (TRPC) proteins and regulate the trafficking and insertion of these proteins into the plasma membrane,N/A ,N/A ,,
35,RICS,RIC3 Acetylcholine Receptor Chaperone,"promote functional expression of homomeric serotoninergic 5-HT3 receptors, and of heteromeric acetylcholine receptors; protein influences the folding and assembly of these receptor subunits in the endoplasmic reticulum and expression on the cell surface",upregulated by TGFβ ,"Noel Faherty, 2013, BMC Genomics",,
36,RUNX1,Runt Related Transcription Factor 1,"rule-related transcription factor 1,binding to the enhancer of T cell receptor genes,involved in hematopoiesis and osteogenesi; Controls the anergy and suppressive function of regulatory T-cells (Treg) by associating with FOXP3.",upregulated by TGFβ ,"Woosook Kim, 2014, PNAS",,
37,SAMSN1,"SAM Domain, SH3 Domain And Nuclear Localization Signals 1",Negative regulator of B-cell activation. Down-regulates cell proliferation (in vitro); ruffle formation and reorganization of the actin cytoskeleton;,N/A ,N/A ,,
38,LAMC2,Laminin Subunit Gamma 2,"cell adhesion, differentiation, migration, signaling, neurite outgrowth and metastasis",upregulated by TGFβ ,"Garg, Manoj, 2014, expert opinion on therapeutic manners",,
39,SERPINE2,Serpin Family E Member 2,"Serine protease inhibitor with activity toward thrombin, trypsin, and urokinase. Promotes neurite extension by inhibiting thrombin. Binds heparin",upregulated by TGFβ ,"Ajaya Kumar Reka, 2014, Carinogensesis",,
40,SERPINE1,Serpin Family E Member 1,"bait for tissue plasminogen activator, urokinase, protein C and matriptase-3/TMPRSS7. Its rapid interaction with PLAT may function as a major control point in the regulation of fibrinolysis",upregulated by TGFβ ,"Ingo Grafe, 2013, Nature Medicine",,
41,SH2D2A,SH2 Domain Containing 2A,function in T-cell signal transduction; activation of lymphocyte-specific protein-tyrosine kinase and functions in downstream signaling,N/A ,N/A ,,
42,SH2D4A,SH2 domain containing 4A,blocking the effect of estrogen on PLCG and repressing estrogen-induced proliferation. May play a role in T-cell development and function.,upregulated by TGFβ ,"Wolfgang Kaisers, 2017, Plos One",,
43,SLC20A1,Solute Carrier Family 20 Member 1,"Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport; causing human cells to be susceptible to infection by gibbon ape leukemia virus, simian sarcoma-associated virus, feline leukemia virus subgroup B",upregulated by TGFβ ,"Rongqin Ren, 2017, blood journal",,
44,SLC22A4,Solute Carrier Family 22 Member 4,transports one sodium ion with one molecule of carnitine. Also transports organic cations such as tetraethylammonium (TEA) without the involvement of sodium.,upregulated by TGFβ ,"Christian J. Groger, 2012, Plos One",,
45,TMEPAI,"Prostate Transmembrane Protein, Androgen Induced 1","negative regulator of TGF-beta signaling and thereby probably plays a role in cell proliferation, differentiation, apoptosis; down-regulation of the androgen receptor (AR), enhancing ubiquitination and proteasome-mediated degradation of AR, probably by recruiting NEDD4 motility, extracellular matrix production and immunosuppression",upregulated by TGFβ ,"Prajjal K. Singha, 2014, Genes Cancer",,
46,TGIF1,TGFB Induced Factor Homeobox 1 ,responsive element from the cellular retinol-binding protein II promoter (CRBPII-RXRE). Inhibits the 9-cis-retinoic acid-dependent RXR alpha transcription activation of the retinoic acid responsive element. Active transcriptional corepressor of SMAD2,upregulated by TGFβ ,"Chen L, 2015, Cell Physiol Biochem",,
47,THBS1,Thrombospondin 1,cell-to-cell and cell-to-matrix interactions; Ligand for CD36 mediating antiangiogenic properties; produces adaptive ER stress response factors,upregulated by TGFβ ,"Stefano Companaro, 2007, BMC Genomics",,
48,TNC,Tenascin C,"migrating neurons as well as axons during development, synaptic plasticity as well as neuronal regeneration; stimulates angiogenesis by elongation, migration and sprouting of endothelial cells",upregulated by TGFβ ,"MS Islam, 2014, Br J Pharmacol.",,
49,TNFRSF12A,TNF Receptor Superfamily Member 12A,Weak inducer of apoptosis in some cell types. Promotes angiogenesis and the proliferation of endothelial cells. May modulate cellular adhesion to matrix proteins.,upregulated by TGFβ ,"Francesca Chiovaro, 2015, Cell  ADH Migr.",,
50,VCAN,Versican,proteoglycan. Versican is found in the extracellular matrix,upregulated by TGFβ ,Cancer Res. 2013 Aug 15;73(16):5016-28.,,
